CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
1967479,AGMI,D6211,,,"4,96",19,"-0,43",11,"-0,05",17,"0,16",17,"0,49",34,"-1,08",16,"-1,45",16,"1,98",23,"3,01",25,"1,14",30,"3,89",32,"1,15",11
2632600,AGMI,E3249,,,"4,96",14,"-0,47",9,"0,40",15,"0,49",15,"0,10",35,"1,34",13,"1,81",13,"1,22",18,"1,29",19,"3,46",21,"-1,07",21,"3,04",9
3198287,AGMI,F1463,,,"4,96",15,"-0,58",6,"0,41",15,"0,18",15,"0,49",18,"2,14",10,"2,91",10,"-0,85",21,"-1,19",21,"3,69",25,"2,46",25,"2,77",7
470321,AGMI,B8387,,,"4,95",7,"-0,36",5,"0,13",3,"-0,05",3,"0,12",25,"0,46",4,"0,66",4,"1,84",12,"3,11",13,"6,23",12,"5,64",12,"3,79",5
999226,AGMI,C5361,,,"4,95",11,"-0,18",8,"0,33",12,"0,05",13,"0,23",33,"1,02",12,"1,07",12,"1,91",14,"2,07",15,"2,75",16,"2,68",16,"2,71",8
999393,AGMI,C5891,,,"4,95",13,"0,20",7,"-0,19",12,"-0,41",11,"0,85",33,"0,35",10,"0,66",9,"1,29",20,"1,76",20,"1,78",22,"2,02",21,"1,24",7
1737290,AGMI,D2763,,,"4,95",14,"-0,46",10,"0,35",14,"0,15",14,"-0,15",33,"0,00",13,"0,18",13,"0,35",16,"1,03",17,"2,44",19,"2,05",19,"2,16",10
1967092,AGMI,D5313,,,"4,95",11,"0,00",4,"0,21",6,"0,12",5,"-0,42",27,"1,39",6,"1,87",6,"2,62",14,"3,99",15,"8,60",21,"4,46",24,"1,65",4
1967624,AGMI,D6298,,,"4,95",17,"0,36",12,"-0,26",18,"-0,31",18,"-0,04",35,"1,16",16,"1,81",16,"0,47",19,"0,41",20,"2,35",22,"1,23",22,"2,59",12
2210000,AGMI,D7890,,,"4,95",18,"-0,23",9,"0,15",15,"0,00",15,"1,16",34,"2,16",13,"2,83",13,"5,33",22,"6,40",24,"5,44",29,"3,10",32,"3,15",9
468488,AGMI,B8243,B8243,,"4,95",25,"0,27",13,"-0,02",23,"-0,17",24,"1,05",42,"0,75",24,"1,23",24,"1,34",27,"2,16",29,"5,23",35,"5,82",37,"0,36",15
1561784,AGMI,D986,,,"4,95",27,"-0,31",15,"-0,61",23,"-0,77",25,"0,56",36,"-0,43",26,"-0,60",25,"2,67",30,"3,83",31,"4,20",39,"4,72",41,"3,65",18
2802056,AGMI,E4018,,,"4,95",25,"-0,67",15,"0,24",26,"0,72",25,"0,00",41,"1,28",22,"1,71",22,"-0,65",29,"-0,25",31,"0,75",37,"4,61",39,"1,62",15
2210674,AGMI,D8717,,,"4,95",22,"0,27",11,"0,19",19,"0,06",20,"0,32",44,"2,09",18,"2,77",18,"1,77",25,"2,93",27,"2,07",34,"0,24",36,"0,47",12
1205026,AGMI,C7552,,,"4,95",18,"0,23",9,"0,45",16,"0,44",17,"-0,70",33,"1,38",11,"1,92",11,"2,76",21,"4,38",22,"6,96",26,"5,78",28,"1,29",5
1440061,AGMI,C8778,,,"4,95",18,"-0,33",12,"0,09",17,"0,20",19,"-0,52",33,"0,34",16,"0,37",15,"0,88",22,"1,54",23,"6,36",23,"5,07",24,"1,18",8
1737458,AGMI,D3324,,,"4,95",22,"-0,50",13,"-0,08",20,"-0,23",21,"0,78",41,"-1,01",22,"-1,30",22,"0,25",24,"0,51",25,"5,16",37,"2,68",31,"-0,70",14
1737626,AGMI,D3540,,,"4,95",17,"0,23",10,"-0,38",19,"-0,03",21,"1,17",41,"-0,67",19,"-0,81",19,"2,06",19,"2,98",20,"1,25",33,"2,45",26,"-1,00",11
1967747,AGMI,D6500,,,"4,95",25,"-0,29",14,"0,15",27,"0,26",29,"0,33",46,"0,08",23,"0,16",23,"1,72",28,"2,07",30,"2,48",37,"2,26",40,"4,47",12
2209836,AGMI,D7690,,,"4,95",23,"-0,32",11,"0,32",26,"0,52",25,"1,79",39,"0,92",20,"1,26",20,"-0,03",26,"0,60",28,"6,25",34,"0,76",36,"1,20",12
5366864,AGMI,G5218,,,"4,95",7,"0,02",3,"0,28",5,"0,30",5,"1,17",27,"1,45",4,"1,99",4,"2,88",13,"4,00",12,"6,82",14,"6,65",14,"-0,93",3
2801956,AGMI,E3976,,,"4,95",24,"-0,21",12,"-0,07",20,"-0,39",21,"0,50",36,"1,19",18,"1,76",18,"1,29",26,"0,04",28,"3,18",33,"1,43",36,"3,35",12
