CGA ,Série ,RGN ,RGD ,Genotipado ,IGe,ACC_IGe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
1561898,AGMI,D1078,,,"7,52",19,"-0,47",12,"0,14",19,"0,33",19,"-0,24",35,"0,10",17,"0,13",17,"1,92",25,"3,42",26,"2,85",27,"4,04",27,"2,73",13
1562297,AGMI,D1573,,,"7,52",16,"-0,06",8,"0,23",13,"0,00",14,"0,57",20,"1,92",11,"2,79",11,"4,58",21,"7,79",23,"7,14",23,"4,18",24,"2,89",8
3198050,AGMI,F1337,,,"7,52",19,"-0,75",9,"0,32",19,"0,49",20,"1,35",23,"2,55",14,"3,50",14,"-0,96",24,"-0,86",25,"6,81",31,"5,40",33,"3,89",10
3986646,AGMI,F5572,,,"7,52",15,"-0,52",6,"0,55",14,"0,53",15,"1,38",35,"1,46",9,"1,94",9,"0,95",20,"1,70",21,"6,25",28,"5,52",30,"6,02",5
4231157,AGMI,F8215,,,"7,52",13,"-0,52",4,"0,16",16,"0,38",17,"0,54",34,"1,01",8,"1,27",8,"2,34",21,"3,85",23,"4,36",28,"3,90",24,"2,46",4
2210218,AGMI,D8218,,,"7,52",12,"-0,29",5,"0,49",22,"0,65",26,"0,37",8,"0,15",5,"0,18",5,"2,46",13,"4,32",14,"11,33",18,"11,74",21,"-0,01",4
2211246,AGMI,D9448,,,"7,52",17,"-0,47",11,"-0,01",30,"0,37",16,"0,70",21,"0,05",16,"0,24",16,"3,27",24,"4,77",25,"4,25",30,"7,74",27,"1,53",11
2802343,AGMI,E4695,,,"7,52",17,"-0,57",8,"-0,05",31,"-0,46",35,"0,91",34,"-0,51",11,"-0,84",11,"4,55",22,"6,81",23,"7,23",29,"5,64",31,"0,39",8
2802545,AGMI,E4999,,,"7,52",19,"-0,61",10,"0,07",19,"-0,03",20,"0,92",35,"0,05",14,"0,05",14,"2,74",25,"5,33",26,"5,04",27,"4,09",27,"2,70",10
2921465,AGMI,E6376,,,"7,52",11,"-0,02",4,"0,19",7,"0,35",7,"-0,02",28,"1,79",6,"2,46",6,"1,36",14,"2,78",15,"11,92",21,"12,27",23,"2,89",4
3056841,AGMI,E8074,,,"7,52",18,"-0,71",8,"0,10",31,"-0,23",35,"1,08",35,"1,71",14,"2,49",14,"0,32",18,"1,26",19,"5,87",30,"5,00",33,"4,14",10
3197231,AGMI,E9724,,,"7,52",17,"-0,25",8,"0,33",18,"0,80",19,"0,54",23,"0,70",12,"0,82",11,"1,79",23,"2,52",23,"1,79",26,"5,26",27,"2,37",8
3201947,AGMI,F411,,,"7,52",9,"-0,25",4,"0,04",6,"-0,04",6,"0,01",9,"0,96",6,"1,36",6,"1,26",14,"2,91",13,"7,96",15,"8,03",15,"2,43",4
3197886,AGMI,F1069,,,"7,52",18,"-0,56",10,"0,07",17,"-0,33",35,"0,68",34,"3,22",13,"4,22",13,"3,94",22,"6,76",24,"4,91",29,"2,98",31,"3,82",9
1968053,AGMI,D6453,,,"7,51",19,"-0,65",10,"0,53",32,"0,69",36,"0,61",34,"0,61",14,"1,01",14,"3,04",22,"4,97",24,"2,46",29,"4,84",32,"1,68",10
2210841,AGMI,D8971,,,"7,51",16,"-0,24",7,"0,19",28,"0,35",33,"0,12",20,"1,27",12,"1,72",12,"1,73",22,"2,15",23,"6,37",28,"8,11",30,"2,55",8
2920829,AGMI,E7334,,,"7,51",19,"-0,82",9,"0,47",18,"0,62",18,"0,00",35,"-0,61",13,"-0,69",13,"2,67",24,"5,06",25,"2,43",30,"3,55",32,"3,63",9
2921207,AGMI,E7859,,,"7,51",17,"-0,15",8,"0,13",32,"0,29",19,"-0,01",35,"1,04",12,"1,40",12,"3,39",23,"2,78",25,"0,47",30,"5,17",27,"1,60",8
3056921,AGMI,E8280,,,"7,51",17,"-0,15",8,"0,04",16,"-0,11",35,"0,38",34,"0,19",12,"0,44",12,"3,31",15,"5,52",16,"6,49",20,"2,99",31,"4,36",8
3085833,AGMI,E9425,,,"7,51",17,"-0,30",7,"0,21",31,"0,64",35,"-0,30",17,"1,96",11,"2,90",11,"2,04",21,"3,62",23,"4,55",29,"5,87",31,"2,56",7
3385287,AGMI,F3155,,,"7,51",12,"-0,12",3,"0,27",25,"0,01",30,"-0,21",8,"-0,07",5,"-0,06",5,"4,13",14,"6,42",15,"10,14",21,"8,94",23,"0,37",4
3664457,AGMI,F3748,,,"7,51",9,"-0,17",3,"-0,01",5,"0,10",5,"1,07",28,"0,43",5,"0,66",5,"1,66",6,"2,47",7,"9,77",21,"14,21",23,"2,03",3
3663503,AGMI,F4473,,,"7,51",17,"-0,71",6,"0,22",30,"0,23",34,"0,26",20,"1,68",9,"2,37",8,"1,00",23,"0,97",24,"4,63",29,"6,97",30,"4,33",6
3986888,AGMI,F6307,,,"7,51",14,"-0,20",4,"0,04",12,"-0,14",13,"1,98",32,"-0,37",7,"-0,39",7,"4,02",19,"6,22",21,"2,04",26,"3,12",29,"2,34",4
4230191,AGMI,F8196,,,"7,51",18,"-0,40",8,"0,38",20,"0,74",19,"0,46",34,"1,77",11,"2,61",11,"-0,68",24,"-0,75",26,"4,36",31,"8,22",32,"5,52",7
4528338,AGMI,G572,,,"7,51",11,"-0,22",4,"0,41",7,"0,61",6,"0,61",27,"0,68",6,"1,04",6,"2,51",14,"4,10",16,"5,40",21,"10,30",23,"2,72",4
