CGA ,Série ,RGN ,RGD ,Genotipado ,MGTe,ACC_MGTe,DIPP,ACC_DIPP,DPE365,ACC_DPE365,DPE450,ACC_DPE450,DPN,ACC_DPN,MP120,ACC_MP120,MP210,ACC_MP210,DP120,ACC_DP120,DP210,ACC_DP210,DP365,ACC_DP365,DP450,ACC_DP450,DPAC,ACC_DPAC
4527253,AGMI,F9091,,,"22,84",20,"-0,96",15,"1,16",30,"1,53",34,"1,51",21,"4,08",16,"5,53",16,"6,45",19,"10,97",20,"27,55",28,"23,98",31,"9,00",12
4794521,AGMI,G1992,,,"18,82",17,"-0,64",10,"0,11",30,"0,57",35,"2,39",34,"3,92",12,"5,33",12,"6,92",23,"11,78",24,"15,20",29,"16,49",31,"7,16",9
5074160,AGMI,G3786,,,"14,37",16,"-0,83",8,"-0,17",31,"-0,26",35,"1,44",34,"1,29",9,"1,96",9,"3,67",22,"6,20",24,"10,17",28,"11,15",31,"6,01",7
